company_name,profile_url,overall_rating,total_reviews,industry,description,scraped_at,rating_job_security,rating_work_life_balance,rating_salary,rating_work_satisfaction,rating_promotions,rating_skill_development,rating_company_culture,rating_management
Vodafone Idea,https://www.ambitionbox.com/overview/vodafone-idea-overview,3.9,17600,Telecom | TopTelecomCompanies in India | Telecom sector,"Get an inside look of Vodafone Idea — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:26:53,3.8,3.8,3.7,3.3,N/A,3.6,3.8,N/A
Bharti Airtel,https://www.ambitionbox.com/overview/bharti-airtel-overview,3.8,17100,Telecom | Telecom sector,"Get an inside look of Bharti Airtel — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:26:58,3.6,3.5,3.6,3.2,N/A,3.6,3.6,N/A
BYJU'S,https://www.ambitionbox.com/overview/byjus-overview,3.2,16400,EdTech(Internet  |  Education & Training) | Internet | Education & Training | EdTech sector,"Get an inside look of BYJU'S — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:27:03,2.8,2.8,2.4,2.4,2.8,2.9,2.8,N/A
WNS,https://www.ambitionbox.com/overview/wns-overview,3.3,15300,IT Services & Consulting | BPO/KPO | Consulting | Food Processing | IT Services & Consulting sector,"Get an inside look of WNS — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:27:07,3.3,3.1,3.5,2.9,N/A,3.0,3.0,N/A
IDFC FIRST Bank,https://www.ambitionbox.com/overview/idfc-first-bank-overview,14.6,14600,Banking sector,"Get an inside look of IDFC FIRST Bank — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:27:10,4.0,N/A,4.0,N/A,4.0,N/A,4.0,N/A
Ernst & Young,https://www.ambitionbox.com/overview/ernst-young-overview,3.4,14600,Management Consulting | Management Consulting sector,"Get an inside look of Ernst & Young — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:27:13,3.0,3.0,3.6,2.9,N/A,3.2,3.0,N/A
IndusInd Bank,https://www.ambitionbox.com/overview/indusind-bank-overview,14.3,14300,Banking sector,"Get an inside look of IndusInd Bank — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:27:18,4.0,N/A,5.0,N/A,5.0,N/A,5.0,N/A
AU Small Finance Bank,https://www.ambitionbox.com/overview/au-small-finance-bank-overview,3.8,14200,Banking(Financial Services) | Financial Services | Banking sector,"Get an inside look of AU Small Finance Bank — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:27:21,3.7,3.7,3.7,3.5,N/A,3.6,3.6,N/A
Tata Motors,https://www.ambitionbox.com/overview/tata-motors-overview,4.1,14200,Automobile | Manufacturing | TopAutomobileCompanies in India | Automobile sector,"Get an inside look of Tata Motors — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:27:24,4.0,4.0,4.1,3.8,N/A,3.9,4.0,N/A
Muthoot FinCorp,https://www.ambitionbox.com/overview/muthoot-fincorp-overview,13.2,13200,N/A,"Get an inside look of Muthoot FinCorp — culture, pay, reviews, interview questions, job openings, corporate offices, peer comparison and more on AmbitionBox",2026-05-13 10:27:29,5.0,N/A,5.0,N/A,5.0,N/A,5.0,N/A
